employee_id,review_cycle,performance_rating,manager_feedback,review_date,goals_met_percentage,peer_feedback,promoted,bonus_awarded
62,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-20,78.8,Often help service various year wife.,False,5198.92
63,2023 Annual,Meets Expectations,Needs improvement.,2024-03-31,66.3,Street keep might economy door current reality paper memory address.,False,4083.56
63,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-07,80.7,Measure me possible nor new future occur surface.,False,3710.02
64,2023 Annual,Below Expectations,Needs improvement.,2024-03-27,71.1,Party similar quality local control.,False,4898.48
64,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-11,67.2,Benefit eat daughter purpose real miss not friend.,False,2507.86
65,2023 Annual,Below Expectations,Needs improvement.,2024-06-14,69.8,Street couple thus include she strategy fact discover themselves quality.,False,7101.53
65,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-30,76.0,New break institution many suffer source.,False,3602.31
66,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-01,83.1,,False,7523.5
66,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-11,55.2,Method production recognize then tell.,False,510.34
67,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-11,76.2,Dog artist leg soldier style American social pick.,False,7968.11
67,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-16,96.6,So low every stop art spring note resource I.,False,3118.77
68,2023 Annual,Meets Expectations,Needs improvement.,2024-06-09,56.3,,False,4213.94
68,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-24,93.2,Tax method room model decade clearly degree car glass partner school.,False,3737.55
69,2023 Annual,Below Expectations,Needs improvement.,2024-04-23,56.8,Enough make grow war pressure whom.,False,7587.89
69,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-10,87.4,Loss change magazine such seek couple before weight turn value.,False,7018.35
70,2023 Annual,Below Expectations,Needs improvement.,2024-03-20,95.4,,False,3853.21
70,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-03,70.6,Morning serve finally sign.,True,1245.74
71,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-29,64.3,Seven necessary firm season minute voice present talk million.,False,4280.79
71,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-17,50.5,,False,3443.48
72,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-20,68.7,Adult turn listen site water since.,False,3293.89
72,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-14,69.5,Start could degree heart view large off catch tell.,False,3026.86
73,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-12,88.2,Return scene rich cover character nature price ask hard.,False,7279.64
73,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-15,87.1,Agent thought guy audience significant police.,False,6470.47
74,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-04,64.5,,False,5095.14
74,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-05,59.4,Design article year exactly quickly dream sea.,True,155.16
75,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-27,64.1,,False,1000.31
75,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-08,50.7,Dog safe population of turn let cup fast how writer.,False,1737.5
76,2023 Annual,Meets Expectations,Needs improvement.,2024-04-05,73.2,Sell by most million total exist debate right bad store.,False,6331.4
76,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-15,63.3,,False,3139.37
77,2023 Annual,Meets Expectations,Needs improvement.,2024-04-07,91.4,,False,975.69
77,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-04,86.9,Personal keep receive entire bank accept.,False,268.08
78,2023 Annual,Below Expectations,Needs improvement.,2024-06-19,99.1,Drug person support daughter nor leave point option keep.,False,3782.6
78,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-02-10,81.5,Win measure boy hit cup brother live beyond indicate.,False,337.49
79,2023 Annual,Meets Expectations,Needs improvement.,2024-05-03,81.9,Each realize degree practice less animal after social last many.,False,1589.79
79,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-29,61.8,Free include thing deal life ready.,True,3473.29
80,2023 Annual,Below Expectations,Needs improvement.,2024-01-31,69.8,My level main knowledge it should machine before.,False,1944.71
80,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-01,84.4,,False,1239.94
81,2023 Annual,Meets Expectations,Needs improvement.,2024-01-24,84.3,It prove church training likely speak put remain.,False,2707.38
81,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-16,67.8,,False,1231.35
82,2023 Annual,Meets Expectations,Needs improvement.,2024-02-29,65.8,Alone why share season site husband recent family fill oil.,False,4466.8
82,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-02-19,51.1,,False,3022.15
83,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-04,85.3,Thank billion soldier I both training become decide those.,False,4472.2
83,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-17,77.2,Specific find receive change pick.,False,2589.45
84,2023 Annual,Below Expectations,Needs improvement.,2024-05-21,58.0,Thing common music form performance.,False,4249.1
84,2024 Mid-Year,Below Expectations,Needs improvement.,2024-04-03,72.7,Effort right feel city thing after benefit always tough.,False,6207.34
85,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-07,92.8,Analysis offer suddenly might part executive.,False,6208.13
85,2024 Mid-Year,Below Expectations,Needs improvement.,2024-05-17,91.0,Imagine between administration partner brother paper simple quality clearly.,False,1518.96
86,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-05,64.2,,False,3278.44
86,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-18,52.2,,False,7502.4
87,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-04,59.6,Key your between make most company onto soldier opportunity.,False,254.54
87,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-14,81.2,,True,4722.41
88,2023 Annual,Below Expectations,Needs improvement.,2024-01-19,50.7,Perform foot offer throw crime movie.,False,7368.28
88,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-29,90.1,Two resource writer policy region above simple even apply successful.,False,485.6
89,2023 Annual,Meets Expectations,Needs improvement.,2024-04-04,89.7,Too often address music hit senior dark case spring morning.,False,466.4
89,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-19,91.7,Especially and ability successful ground serve piece a.,False,623.48
90,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-29,76.6,,False,1515.68
90,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-15,77.9,This law detail over attack class moment.,False,4465.13
91,2023 Annual,Below Expectations,Needs improvement.,2024-04-01,83.7,,False,5620.4
91,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-20,70.1,Man key describe force between give between.,False,2700.1
92,2023 Annual,Meets Expectations,Needs improvement.,2024-03-31,95.1,Despite deal wish sea test despite but experience test outside movement.,False,4400.65
92,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-11,71.5,Ground after institution serious section full end ball life for.,False,5806.94
93,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-06,88.3,Ground rich science company director property without season peace.,False,7409.18
93,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-11,50.0,,False,277.3
94,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-18,50.3,Only detail officer room more piece able majority low market.,False,7875.16
94,2024 Mid-Year,Below Expectations,Needs improvement.,2024-03-11,96.0,Offer family trade such pass.,False,4090.17
95,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-10,73.0,Economy challenge include yes unit recent still reason voice.,False,1248.86
95,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-29,62.8,Young service off address investment.,False,2402.42
96,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-01-20,86.2,Perform season born back major.,False,6343.23
96,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-28,78.8,Message laugh kitchen recently.,False,7261.25
97,2023 Annual,Below Expectations,Needs improvement.,2024-05-27,69.1,Service budget activity issue serious citizen.,False,6240.98
97,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-16,96.5,Maybe just culture town hit four sport.,False,964.32
98,2023 Annual,Below Expectations,Needs improvement.,2024-01-03,81.7,Particularly blood entire across site interest several effort.,True,5057.55
98,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-18,78.2,,False,2614.65
99,2023 Annual,Below Expectations,Needs improvement.,2024-04-10,98.6,,False,6022.72
99,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-03-15,89.3,Ball your consumer market summer.,False,1184.1
100,2023 Annual,Below Expectations,Needs improvement.,2024-01-13,77.4,Still four bag begin character traditional.,False,2100.46
100,2024 Mid-Year,Below Expectations,Needs improvement.,2024-02-03,88.1,Free recognize style spring her apply.,False,3847.38
101,2023 Annual,Below Expectations,Needs improvement.,2024-02-20,78.1,,False,7976.63
101,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-20,66.2,Usually institution just ever rule.,True,7393.1
102,2023 Annual,Meets Expectations,Needs improvement.,2024-04-03,67.4,,False,2565.91
102,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-02-13,99.4,Dog receive single mention any control.,False,4929.77
103,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-04-22,52.2,Run plan nation thought appear network.,False,6545.38
103,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-22,55.6,Ahead professor agent only decade business.,False,436.3
104,2023 Annual,Meets Expectations,Needs improvement.,2024-01-04,67.2,Require on character art laugh political walk power less herself.,False,6434.25
104,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-02-23,87.0,Us beautiful nice current whole bad citizen forward.,False,1695.0
105,2023 Annual,Below Expectations,Needs improvement.,2024-05-03,81.2,Sing above adult federal avoid account town out.,False,7938.42
105,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-29,95.3,,False,4214.39
106,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-27,80.9,,False,424.68
106,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-06-18,63.6,Radio across pressure her sound property outside check.,False,6816.66
107,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-03-15,93.4,Around three produce heart dog food.,False,5195.29
107,2024 Mid-Year,Below Expectations,Needs improvement.,2024-01-26,95.2,,False,3877.3
108,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-05-08,98.3,,False,4485.5
108,2024 Mid-Year,Below Expectations,Needs improvement.,2024-03-19,66.7,Collection best help describe best program fly.,False,3147.2
109,2023 Annual,Meets Expectations,Needs improvement.,2024-03-31,81.3,Example peace control hope wall meet just practice.,False,1889.64
109,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-09,62.9,Particularly level speak management guess sign general.,False,3097.36
110,2023 Annual,Below Expectations,Needs improvement.,2024-03-12,61.3,,False,2734.29
110,2024 Mid-Year,Below Expectations,Needs improvement.,2024-04-07,76.0,Pretty cell action number shoulder although.,False,5423.96
111,2023 Annual,Meets Expectations,Needs improvement.,2024-03-02,78.6,Right glass information draw deep school quite food near.,False,3411.72
111,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-05-18,56.6,World power among operation dark good land.,False,5219.78
112,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-05,65.4,,False,5641.09
112,2024 Mid-Year,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-06-16,96.7,Today positive among effort break whom save old.,False,7336.9
113,2023 Annual,Below Expectations,Needs improvement.,2024-01-31,59.2,,False,6716.18
113,2024 Mid-Year,Meets Expectations,Needs improvement.,2024-04-15,98.1,Third charge magazine strong far.,False,2426.78
114,2023 Annual,Below Expectations,Needs improvement.,2024-03-11,57.6,,False,1503.47
114,2024 Mid-Year,Below Expectations,Needs improvement.,2024-06-06,63.3,,False,4536.34
115,2023 Annual,Below Expectations,Needs improvement.,2024-01-07,68.0,Member send special skill material share eat early.,False,5505.13
115,2024 Mid-Year,Below Expectations,Needs improvement.,2024-04-30,85.6,Hear agent every take Republican after.,False,2991.68
116,2023 Annual,Exceeds Expectations,Exceeds Expectations performance. Keep up the good work!,2024-02-11,59.7,,False,257.84
